0,0000-01-04,0001-01-02
1,0001-01-03,0002-01-02
2,0002-01-03,0003-01-02
3,0003-01-03,0004-01-02
4,0004-01-03,0005-01-02
5,0005-01-03,0006-01-02
6,0006-01-03,0007-01-02
7,0007-01-03,0008-01-02
8,0008-01-03,0009-01-02
9,0009-01-03,0010-01-02
10,0010-01-03,0011-01-02
11,0011-01-03,0012-01-02
12,0012-01-03,0013-01-02
13,0013-01-03,0014-01-02
14,0014-01-03,0015-01-02
15,0015-01-03,0016-01-02
16,0016-01-03,0017-01-02
17,0017-01-03,0018-01-02
18,0018-01-03,0019-01-02
19,0019-01-03,0020-01-02
20,0020-01-03,0021-01-02
21,0021-01-03,0022-01-02
22,0022-01-03,0023-01-02
23,0023-01-03,0024-01-02
24,0024-01-03,0025-01-02
25,0025-01-03,0026-01-02
26,0026-01-03,0027-01-02
27,0027-01-03,0028-01-02
28,0028-01-04,0029-01-02
29,0029-01-03,0030-01-02
30,0030-01-03,0031-01-02
31,0031-01-03,0032-01-02
32,0032-01-03,0033-01-02
33,0033-01-03,0034-01-02
34,0034-01-03,0035-01-02
35,0035-01-03,0036-01-02
36,0036-01-03,0037-01-02
37,0037-01-03,0038-01-02
38,0038-01-03,0039-01-02
39,0039-01-03,0040-01-02
40,0040-01-03,0041-01-02
41,0041-01-03,0042-01-02
42,0042-01-03,0043-01-02
43,0043-01-03,0044-01-02
44,0044-01-03,0045-01-02
45,0045-01-03,0046-01-02
46,0046-01-03,0047-01-02
47,0047-01-03,0048-01-02
48,0048-01-03,0049-01-02
49,0049-01-03,0050-01-02
50,0050-01-03,0051-01-02
51,0051-01-03,0052-01-02
52,0052-01-03,0053-01-02
53,0053-01-03,0054-01-02
54,0054-01-03,0055-01-02
55,0055-01-03,0056-01-02
56,0056-01-04,0057-01-02
57,0057-01-03,0058-01-02
58,0058-01-03,0059-01-02
59,0059-01-03,0060-01-02
60,0060-01-03,0061-01-02
61,0061-01-03,0062-01-02
62,0062-01-03,0063-01-02
63,0063-01-03,0064-01-02
64,0064-01-03,0065-01-02
65,0065-01-03,0066-01-02
66,0066-01-03,0067-01-02
67,0067-01-03,0068-01-02
68,0068-01-03,0069-01-02
69,0069-01-03,0070-01-02
70,0070-01-03,0071-01-02
71,0071-01-03,0072-01-02
72,0072-01-03,0073-01-02
73,0073-01-03,0074-01-02
74,0074-01-03,0075-01-02
75,0075-01-03,0076-01-02
76,0076-01-03,0077-01-02
77,0077-01-03,0078-01-02
78,0078-01-03,0079-01-02
79,0079-01-03,0080-01-02
80,0080-01-03,0081-01-02
81,0081-01-03,0082-01-02
82,0082-01-03,0083-01-02
83,0083-01-03,0084-01-02
84,0084-01-04,0085-01-02
85,0085-01-03,0086-01-02
86,0086-01-03,0087-01-02
87,0087-01-03,0088-01-02
88,0088-01-03,0089-01-02
89,0089-01-03,0090-01-02
90,0090-01-03,0091-01-02
91,0091-01-03,0092-01-02
92,0092-01-03,0093-01-02
93,0093-01-03,0094-01-02
94,0094-01-03,0095-01-02
95,0095-01-03,0096-01-02
96,0096-01-03,0097-01-02
97,0097-01-03,0098-01-02
98,0098-01-03,0099-01-02
99,0099-01-03,0100-01-02
100,0100-01-03,0101-01-01
101,0101-01-02,0102-01-01
102,0102-01-02,0103-01-01
103,0103-01-02,0104-01-01
104,0104-01-02,0105-01-01
105,0105-01-02,0106-01-01
106,0106-01-02,0107-01-01
